,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
94770,Punjab Circle,Punjab West Region,Ferozpur Division,Muradwala Dal Singh BO,152122,BO,Delivery,FAZILKA,PUNJAB,30.2666216,74.2516604
94771,Punjab Circle,Punjab West Region,Ferozpur Division,Nurpur Sethan BO,152004,BO,Delivery,FIROZEPUR,PUNJAB,29.97117,74.57624
94772,Punjab Circle,Punjab West Region,Ferozpur Division,Toot BO,152004,BO,Delivery,FIROZEPUR,PUNJAB,29.97117,74.57624
94773,Punjab Circle,Punjab West Region,Ferozpur Division,Chugatte Wala BO,152005,BO,Delivery,FIROZEPUR,PUNJAB,30.82655,74.5765
94774,Punjab Circle,Punjab West Region,Ferozpur Division,Khosa Dal Singh BO,152005,BO,Delivery,FIROZEPUR,PUNJAB,30.7499537,75.4126063
94775,Punjab Circle,Punjab West Region,Ferozpur Division,Sodhi Nagar BO,152005,BO,Delivery,FIROZEPUR,PUNJAB,30.7456,75.30656
94776,Punjab Circle,Punjab West Region,Ferozpur Division,Sekhwan BO,142050,BO,Delivery,FIROZEPUR,PUNJAB,30.968536,74.991058
94777,Punjab Circle,Punjab West Region,Ferozpur Division,Sulhani BO,142050,BO,Delivery,FIROZEPUR,PUNJAB,30.918107,74.616135
94778,Punjab Circle,Punjab West Region,Ferozpur Division,Wara Waryam Singh BO,142050,BO,Delivery,FIROZEPUR,PUNJAB,30.85535,74.94099
94779,Punjab Circle,Punjab West Region,Ferozpur Division,Malloke BO,142047,BO,Delivery,FIROZEPUR,PUNJAB,30.968536,74.991058
94780,Punjab Circle,Punjab West Region,Ferozpur Division,Mehar Singh Wala BO,142047,BO,Delivery,FIROZEPUR,PUNJAB,30.94655,74.9391
94781,Punjab Circle,Punjab West Region,Ferozpur Division,Shazada Sant Singh BO,142047,BO,Delivery,FIROZEPUR,PUNJAB,30.94655,74.9391
94818,Punjab Circle,Punjab West Region,Ferozpur Division,Valtoha BO,142047,BO,Delivery,FIROZEPUR,PUNJAB,30.94655,74.9391
94819,Punjab Circle,Punjab West Region,Ferozpur Division,Himatpura BO,152118,BO,Delivery,FAZILKA,PUNJAB,30.9265616,74.6135151
94820,Punjab Circle,Punjab West Region,Ferozpur Division,Khairpur BO,152118,BO,Delivery,FAZILKA,PUNJAB,30.15515,74.2034
94821,Punjab Circle,Punjab West Region,Ferozpur Division,Dodewala BO,152118,BO,Delivery,FAZILKA,PUNJAB,30.9265606,74.6135161
94840,Punjab Circle,Punjab West Region,Jalandhar Division,Haripur Khalsa BO,144410,BO,Delivery,JALANDHAR,PUNJAB,31.0325,75.8225
94841,Punjab Circle,Punjab West Region,Jalandhar Division,Shahpur Bhattian BO,144410,BO,Delivery,JALANDHAR,PUNJAB,31.0369,75.8239
94878,Punjab Circle,Punjab West Region,Jalandhar Division,Ganna Pind BO,144410,BO,Delivery,JALANDHAR,PUNJAB,31.02039,75.754592
94879,Punjab Circle,Punjab West Region,Jalandhar Division,Damunda BO,144103,BO,Delivery,JALANDHAR,PUNJAB,31.422,75.7564
94880,Punjab Circle,Punjab West Region,Jalandhar Division,Khurdpur BO,144102,BO,Delivery,JALANDHAR,PUNJAB,31.3875,75.2459
94881,Punjab Circle,Punjab West Region,Jalandhar Division,Najka BO,144102,BO,Delivery,JALANDHAR,PUNJAB,31.3876,75.2456
94882,Punjab Circle,Punjab West Region,Jalandhar Division,Ghurial BO,144106,BO,Delivery,JALANDHAR,PUNJAB,31.4738,75.7576
94883,Punjab Circle,Punjab West Region,Jalandhar Division,Chamiara BO,144002,BO,Delivery,JALANDHAR,PUNJAB,31.3745,75.5118
94884,Punjab Circle,Punjab West Region,Jalandhar Division,Ladhra BO,144201,BO,Delivery,JALANDHAR,PUNJAB,31.3263,75.5769
94885,Punjab Circle,Punjab West Region,Jalandhar Division,Laroya BO,144201,BO,Delivery,JALANDHAR,PUNJAB,31.3262,75.5769
94886,Punjab Circle,Punjab West Region,Jalandhar Division,Manakrai BO,144201,BO,Delivery,JALANDHAR,PUNJAB,31.3265,75.5765
94887,Punjab Circle,Punjab West Region,Jalandhar Division,Patial BO,144201,BO,Delivery,JALANDHAR,PUNJAB,31.3278,75.5769
94888,Punjab Circle,Punjab West Region,Jalandhar Division,Lallian BO,144028,BO,Delivery,JALANDHAR,PUNJAB,31.3524,75.6171
94889,Punjab Circle,Punjab West Region,Jalandhar Division,Lidhran BO,144004,BO,Delivery,JALANDHAR,PUNJAB,31.3203,75.5908
95032,Punjab Circle,Punjab West Region,Jalandhar Division,Sheikhe Pind BO,144025,BO,Delivery,JALANDHAR,PUNJAB,31.3835,75.639
95033,Punjab Circle,Punjab West Region,Jalandhar Division,Kandhala Guru BO,144303,BO,Delivery,JALANDHAR,PUNJAB,31.4328,75.6508
95034,Punjab Circle,Punjab West Region,Jalandhar Division,Kalyanpur BO,144026,BO,Delivery,JALANDHAR,PUNJAB,31.3524,75.6171
